document_id	event_type
443248178091915086_144125124	concert
443248321178825775_16527492	concert
443248529277082328_362799501	concert
443248648172885063_27435276	concert
443248820433762133_274066068	concert
443250180482292454_362799501	concert
443250267178228123_269429181	concert
443250331347722692_276195903	concert
443250432253491041_144125124	concert
443250435426562872_17297251	concert
443250456345644262_244935194	concert
443250794704558828_362799501	concert
443250958496553331_316965629	concert
443250966444136715_266549117	concert
443250999394741561_39969266	concert
443251710794774091_245735108	concert
443252541359328505_244935194	concert
443252773668739679_194213797	concert
443252782307374633_30697204	concert
443253164526298240_176217584	concert
443253195188454960_218724336	concert
443253594022404732_304356975	concert
443253639387755660_300366740	concert
443253910953967553_35773502	concert
443254059017995838_357510288	concert
443254431237081530_11210065	concert
443255217420413694_317577985	concert
443255736781700494_146165446	concert
443255796051368743_362799501	concert
443255962473299500_208434830	concert
443256323325713197_362799501	concert
443256332576384165_176217584	concert
443257559039637685_362826053	concert
443257645108809697_222253058	concert
443257653092944562_9886281	concert
443257718245989577_41355038	concert
443257770920704098_144722621	concert
443258072466142655_7527764	concert
443259063997542401_44515747	concert
443260327610608229_215974153	concert
443260947349663363_241726306	concert
443261596360283160_325152084	concert
443262056624801139_36230496	concert
443262287381396714_196993198	concert
443262565380265064_4063588	concert
443262968168816422_316684710	concert
443263112374120297_27701530	concert
443263133163087770_274788480	concert
443263928202295413_231608965	concert
443264225314348974_306010006	concert
443264887163778814_34804924	concert
443265276132957873_351792790	concert
443265347593429174_328185759	concert
443265624425130724_4210025	concert
443265775307263324_734546	concert
443265980761442449_16199929	concert
443266705482854695_7716035	concert
443267073233300861_40128242	concert
443267206688187569_259993752	concert
443267383576369238_9101413	concert
443267872489419708_210251227	concert
443268044265621889_223368841	concert
443268366959511653_46074737	concert
443268795883256528_256512237	concert
443269841542711164_269129864	concert
443270415396233948_22982167	concert
443270590359684819_41164368	concert
443271381537521617_297437302	concert
443271838950791321_190666573	concert
443271998747262392_219043406	concert
443272655190039730_260909038	concert
443272895488687744_228767654	concert
443273358372683188_293528246	concert
443273396774668919_32032209	concert
443273633969230350_38655531	concert
443273754295664929_301205767	concert
443273850445889827_196125767	concert
443274326550848701_345306864	concert
443274667213786821_189458394	concert
443275122822556791_46271738	concert
443275607096413487_47796266	concert
443275619336847713_197977687	concert
443275660325952670_30569998	concert
443275667409214479_262165006	concert
443276082012299379_9394423	concert
443276668887389888_7554116	concert
443276929880828298_40367825	concert
443277210771901730_8756394	concert
443277657249380248_145873548	concert
443278402290617007_32032209	concert
443278432802217243_362514390	concert
443279784743476486_260909038	concert
443280377546324273_191825813	concert
443280591640419220_26155853	concert
443280896720866219_274254321	concert
443280910459105185_255797074	concert
443280913990847180_32032209	concert
443282441470667120_223385441	concert
443282723068897139_656464	concert
443282747430830495_274192847	concert
443282786638941045_352322609	concert
443283085266053936_295628641	concert
443283336032246719_26155853	concert
443283813385326541_278055210	concert
443283868443017148_16468390	concert
443283904167500743_26155853	concert
443284012283452132_1484341	concert
443285212767764485_207913375	concert
443285435230613700_264395411	concert
443285677581483769_12539302	concert
443285685935208120_327638004	concert
443285716435966258_189812789	concert
443285970176587735_209734748	concert
443285976599671870_25292220	concert
443286041226982247_36868659	concert
443286187483391396_264304664	concert
443286216792608282_22404098	concert
443286333434278983_25292220	concert
443286652496907808_22404098	concert
443286800787662494_42246112	concert
443286868541399146_259215087	concert
443287244569287286_3400229	concert
443287356056328259_215067613	concert
443287710408683348_209488370	concert
443288005695732497_254578037	concert
443288099109982467_37961779	concert
443288308157144124_49899758	concert
443288397319146152_4079257	concert
443288683237126483_24439907	concert
443288759259195076_42246112	concert
443288927622443349_24439907	concert
443289130932345494_3400229	concert
443289215192314202_24439907	concert
443289983621643954_327469206	concert
443290280459580213_201407891	concert
443290317244118586_261773372	concert
443290637128143133_37424579	concert
443291213992246583_187425974	concert
443291222803793486_290054400	concert
443291450232366835_42246112	concert
443291546753468828_6392849	concert
443291649142465820_39965552	concert
443292127024723976_395589	concert
443292202524042368_227922392	concert
443292387636466614_182573379	concert
443293351259988327_253197359	concert
443295559562765380_202809040	concert
443296637262520760_274517583	concert
443296687089584384_22216345	concert
443297001897027407_42246112	concert
443297072783402336_41803688	concert
443298075112816061_35773502	concert
443298553035845298_27457394	concert
443298993338752430_1724006	concert
443299374630857195_20430409	concert
443299512070387694_246145972	concert
443300747116916869_221861131	concert
443300772621229520_1724006	concert
443300959836751960_275152609	concert
443301377671176939_255570519	concert
443301397791608013_315019962	concert
443301587716168093_12658093	concert
443301766276755644_349013755	concert
443302385203635476_227922392	concert
443303357172536912_198010116	concert
443303397901875049_286752700	concert
443304875404049711_219292574	concert
443305581010726899_45856514	concert
443305959480264744_32032209	concert
443306284203984707_325787896	concert
443306352452167287_262521400	concert
443306986791847753_325787896	concert
443308051700430554_240007860	concert
443308198459690701_6863410	concert
443308329095260344_249023193	concert
443308468591265209_179644992	concert
443309271577865748_8945586	concert
443309399701084616_270704501	concert
443309599330803379_9332182	concert
443310139488060183_187990239	concert
443310654955869975_349504756	concert
443310858604305167_143882997	concert
443311424415830095_205992915	concert
443311432067371632_54339019	concert
443311526707478528_9603855	concert
443311691483868966_5832842	concert
443311773229839488_143851852	concert
443312087688398774_353264976	concert
443313232394296966_332011510	concert
443313388105963745_44903781	concert
443313765124631540_1449825	concert
443314029290404198_338429941	concert
443314188980900299_261761587	concert
443314436092458743_199426532	concert
443315319589877068_10642348	concert
443316117992511647_39307437	concert
443316129395241960_331614987	concert
443316152478670179_173743014	concert
443317465226015221_6770379	concert
443317619444348818_23257492	concert
443317634199245666_308806843	concert
443318413710582530_274196783	concert
443318490761789699_50793583	concert
443318747051345261_41164368	concert
443319000905793843_251822799	concert
443319031432741133_50793583	concert
443319116448287413_9250657	concert
443319662306138737_274703333	concert
443319849590747326_260663867	concert
443319967668502813_50793583	concert
443320127874051451_318093498	concert
443320730318996451_269928775	concert
443320745307336234_336371722	concert
443321045928605732_19340477	concert
443321425675707476_145473608	concert
443321525649467305_33126976	concert
443321665949678968_319817702	concert
443322039411198326_49613377	concert
443322688782680088_174384303	concert
443323001166444237_32404684	concert
443323137177572472_269122964	concert
443323150396030245_309416022	concert
443324076200402125_21994966	concert
443324151533998704_234345579	concert
443324827911224557_211254254	concert
443324892896210640_295827730	concert
443325166776408913_347623253	concert
443325565039399907_328285371	concert
443325743089494384_47332217	concert
443325914811452955_233946010	concert
443326772881706258_340340562	concert
443327804943500265_1043455	concert
443328063604343867_218986616	concert
443328627872710509_313761870	concert
443328937943404631_22704387	concert
443329022139399219_38168934	concert
443329105722481617_21067949	concert
443329109579639834_55226386	concert
443329131080671334_237457391	concert
443329334318262091_237445824	concert
443329404993824559_267802328	concert
443329443941387670_188191602	concert
443329445705183508_210813739	concert
443330332630340777_53256428	concert
443330576716969248_45089652	concert
443330794154675914_1636330	concert
443330974945556562_230660941	concert
443331081130285920_223112629	concert
443331277413476213_237445824	concert
443331431581280626_243022745	concert
443331585657027505_6869877	concert
443331664215449553_1724006	concert
443331829486457658_218562691	concert
443331959029884738_330570888	concert
443332106501738119_233946010	concert
443332117021808781_30001749	concert
443332891566928515_27771531	concert
443333597370580021_8944414	concert
443333610439676566_327454067	concert
443333813033284917_314844396	concert
443333951233970005_312952802	concert
443334031848524576_350367833	concert
443334163431364419_192571988	concert
443334737690052323_25176744	concert
443334842833751599_256857610	concert
443335404025351470_314189674	concert
443335954610248341_179683317	concert
443336029999945495_272399564	concert
443336359084556500_21839095	concert
443336458309508192_228890294	concert
443336467447714017_336918235	concert
443336494727111527_16912887	concert
443336531903109766_316965629	concert
443336556533862248_47082386	concert
443336584895274317_32676926	concert
443336590498866140_195826927	concert
443337100046379678_6210265	concert
443337124646560699_9179935	concert
443338933347388998_230174450	concert
443338981251455315_294186253	concert
443339346523784559_189745064	concert
443339506369679129_233946010	concert
443339615852149542_13818693	concert
443339971058676106_29428019	concert
443340353441929738_343135037	concert
443340811017522273_43307178	concert
443340816992780644_177259687	concert
443340858975441092_16627419	concert
443341332436377049_45361942	concert
443341354708543888_219702345	concert
443341440835428019_9803366	concert
443341456380186728_274489019	concert
443341796143240992_284323300	concert
443341923533157541_197238804	concert
443342945565665350_173641913	concert
443343686123517753_46069988	concert
443343791632467732_20542096	concert
443343811907212176_261761587	concert
443343922602310631_35405637	concert
443345354096702712_277629156	concert
443346162170097253_235792970	concert
443346504834337770_33921009	concert
443346737561103453_219777586	concert
443346888246437082_344688336	concert
443347107298157791_344688336	concert
443347178057383882_261384622	concert
443347336231658725_344688336	concert
443347524991170940_43712413	concert
443347529771847399_188191602	concert
443347786169162805_18441126	concert
443348268664596318_359445616	concert
443348315499726630_36052112	concert
443348379020161075_195208963	concert
443348576738905554_314903234	concert
443348629986697452_260250215	concert
443349327705032583_41164368	concert
443349387187594513_344688336	concert
443349543710472579_145443181	concert
443350001113766630_336230901	concert
443351221252707002_206505051	concert
443351432110042145_199456306	concert
443351459718283481_18682607	concert
443351549067550914_173829759	concert
443351918851183140_216061843	concert
443352958764139089_208189175	concert
443353297224615477_175096168	concert
443353354704085375_189896879	concert
443353512198511433_19445229	concert
443354520830467175_9462678	concert
443355141243015831_30827179	concert
443355601819539982_189867181	concert
443355847058316410_144655054	concert
443355902871672905_50218909	concert
443356029428468387_330186825	concert
443356482974294294_297765807	concert
443356627672623993_21568961	concert
443356711405491024_246026795	concert
443356977167994144_230569738	concert
443356999362108730_277752646	concert
443357816216935584_144655054	concert
443358325619565740_290409360	concert
443359217392810244_270151533	concert
443359342603380128_41803688	concert
443359703773593180_43522414	concert
443359729386371559_31949717	concert
443359915192466878_51543182	concert
443359924068672678_24809216	concert
443359990791873024_218384423	concert
443360019671770471_227922392	concert
443361374599697286_50272355	concert
443361520747395265_13818693	concert
443361586673413288_55443642	concert
443361902560893647_30726365	concert
443364053494853489_302298898	concert
443364179825722666_298357368	concert
443364240625713529_6636743	concert
443366811575984770_182583015	concert
443366838744829313_241961202	concert
443366962612672105_224042820	concert
443366971313021580_36189151	concert
443366982300864962_26102947	concert
443367081343580830_26946405	concert
443367331963928760_356878647	concert
443368187619946036_280329842	concert
443368568702569835_191656474	concert
443369034177702866_11181145	concert
443369138094940140_9840326	concert
443369385948410113_225703899	concert
443369502428742474_326330111	concert
443369539175265596_19834428	concert
443369670343909836_291445503	concert
443369677561077392_184038398	concert
443369880673707223_6437680	concert
443371058308205420_29172449	concert
443371284650647867_5403447	concert
443371343654435543_273516805	concert
443371568572010528_3353971	concert
443371907338138536_37064539	concert
443372548444737372_6863410	concert
443372682618577931_313746512	concert
443373347753546436_22723699	concert
443373531849635247_304038404	concert
443373547947857180_30033876	concert
443373564095116572_37953084	concert
443373612630941002_248432438	concert
443373681265284363_190521220	concert
443373782670029491_44754395	concert
443374123974370351_313746512	concert
443374389784002479_31551326	concert
443374683446138019_30118412	concert
443374819331030097_199471294	concert
443374940824655906_220797677	concert
443376272732177061_192000623	concert
443376395553711656_231559456	concert
443376620028972696_19310658	concert
443377179450007518_4047166	concert
443377581950764542_38655768	concert
443377756815033438_321899416	concert
443377915036767171_225180323	concert
443378030271848648_332376079	concert
443378445014475352_305257503	concert
443379578802006392_225942553	concert
443379661102082483_338877009	concert
443380939736230399_17162569	concert
443381528683054603_54527016	concert
443381537154128356_316965629	concert
443382043658863985_42676200	concert
443382127645413008_233946010	concert
443382192849422990_43190385	concert
443382466297389218_182334791	concert
443382501491477141_43190385	concert
443382609737879095_199120194	concert
443382743178619638_52798273	concert
443383627494861255_310980905	concert
443383774143993338_47220404	concert
443383866142991604_313746512	concert
443384353418956157_495050	concert
443384490170642180_349850634	concert
443384529886243868_362179474	concert
443384599637417146_43354374	concert
443384646403382553_4753862	concert
443384783909195712_349123618	concert
443385828909789291_176116803	concert
443386726994230289_143961870	concert
443386938665643742_186823498	concert
443387104665260137_298761011	concert
443387108091659817_316184768	concert
443387279995555607_233946010	concert
443387311615139154_4753862	concert
443387338626720715_43184119	concert
443387489880250162_178827692	concert
443387578572460461_174477163	concert
443387731394941049_298761011	concert
443388564345708899_278339855	concert
443388612175492830_210082844	concert
443388830017709273_352596336	concert
443388865945701692_208815930	concert
443388890993716789_298595570	concert
443389076166023003_178827692	concert
443389467810695481_184390097	concert
443389503590695036_322452623	concert
443389520483149538_252560472	concert
443389566321511657_6863410	concert
443389758277268254_24977667	concert
443391132614237518_7150486	concert
443391188171859753_278135360	concert
443391550418367863_211266580	concert
443391861419244101_282553165	concert
443393777596717180_40884437	concert
443394092991284768_272479128	concert
443394165735818670_5072688	concert
443394336786053229_2420861	concert
443394417459449827_233946010	concert
443395130356318587_198190431	concert
443395461901549290_7457654	concert
443395510707553894_198443712	concert
443395816855123021_277160716	concert
443396481664848929_53769772	concert
443396875752384515_48583913	concert
443397291991548323_198190431	concert
443397357861230026_341452708	concert
443397911921827556_8709102	concert
443398401220283681_42283458	concert
443398761969829665_6405976	concert
443399329542742151_242515679	concert
443399557284651829_7255279	concert
443399672854449927_52420226	concert
443399958060169466_329761629	concert
443400017050817257_190898539	concert
443400314400444211_30437210	concert
443401249211992733_24449017	concert
443401303920513019_295187082	concert
443401605547587319_17355028	concert
443401955112318807_2913004	concert
443402336610127400_196368682	concert
443402569990095474_11834175	concert
443402683024339537_21979	concert
443403399420585328_16092696	concert
443403581460179618_11181145	concert
443403780278102856_185805681	concert
443403958170542756_37304215	concert
443404190399230668_209277715	concert
443404490214877016_189366160	concert
443404668424549270_26933195	concert
443404771645125238_21979	concert
443404899654151898_190165874	concert
443404946546579708_287480981	concert
443406376446500248_269518878	concert
443406432185209573_328285371	concert
443406556858681037_45867304	concert
443406711354429887_33379995	concert
443407110791502660_18121797	concert
443407548140461011_335637277	concert
443407589393738416_287660425	concert
443408492227252450_13896587	concert
443408603546775165_924218	concert
443409273769912433_23667777	concert
443409453279298264_52704303	concert
443409456249317131_298934744	concert
443409811519811003_180531002	concert
443410344088734572_285552337	concert
443410645617636183_267222715	concert
443411451309073614_189691928	concert
443411456520631067_244429107	concert
443411671065809452_143902291	concert
443411753701658716_1221971	concert
443412216939660881_51429208	concert
443412516872105762_17372026	concert
443413182582178487_319270591	concert
443413372662464443_206323342	concert
443414102453818218_178532595	concert
443414420750836870_9622280	concert
443414687985438676_47891026	concert
443414762730812742_267058836	concert
443414885554407321_11221488	concert
443414896184684306_6848354	concert
443414900479994372_5333689	concert
443414983525240841_329176763	concert
443415040064516909_196826819	concert
443415340058583907_348322471	concert
443415695726681387_50486990	concert
443416600001123212_363061283	concert
443417031387796187_21648731	concert
443417335046280314_3758012	concert
443417347224865781_13811377	concert
443417399888573668_206451404	concert
443417610376285426_23772146	concert
443420075586887791_248392183	concert
443420311021444492_192142070	concert
443420358149902424_15748299	concert
443421660328324460_316431370	concert
443422752658892781_23655968	concert
443422787328458190_18980430	concert
443423245967880840_20681083	concert
443423525830773155_29948185	concert
443423693293915138_349754514	concert
443424429417840258_17222958	concert
443425008802925275_255188649	concert
443426142152704731_236927191	concert
443427529024232442_16741941	concert
443427759517761581_288401695	concert
443427801135092166_257003107	concert
443428033237972132_26211628	concert
443428234621677366_213625058	concert
443428850071366042_29317681	concert
443430323061675699_1388732	concert
443431629202693045_231039901	concert
443431793985500760_37661964	concert
443432082618858099_2750141	concert
443432093125152747_26338810	concert
443432538926030893_269640583	concert
443432672819425655_274313339	concert
443432916959694488_188191602	concert
443434265354747421_228263374	concert
443434403613615772_226911256	concert
443434591772431517_53813540	concert
443434650148775084_214333560	concert
443434743926349211_258604854	concert
443434875162198934_396023	concert
443435176992949269_274151264	concert
443435317779674821_37661964	concert
443435354360541504_33745155	concert
443435483448999465_5049606	concert
443435604953710358_18980430	concert
443436107693402858_174597409	concert
443436849206515379_209539468	concert
443437062541052035_202485033	concert
443437131236820361_193441456	concert
443437202843489116_336577931	concert
443437238093873132_18149350	concert
443437386310271713_270087479	concert
443437485774685704_173543152	concert
443437650032420633_189413544	concert
443437788567946317_274151264	concert
443437898637719573_349664045	concert
443438078774057809_201263429	concert
443438977755393777_229507826	concert
443439169552634762_336577931	concert
443439244762063021_25705167	concert
443439949365657534_219292574	concert
443440176813334201_249356558	concert
443440239370341192_250004641	concert
443440299294226035_7475412	concert
443440414648630434_48808006	concert
443440546752671761_273853243	concert
443440548666726917_177179661	concert
443440594626977456_258633750	concert
443441508371297177_203647203	concert
443441885935949823_270648956	concert
443442075232128251_30837834	concert
443442435856165627_288050665	concert
443443885175500981_270663355	concert
443444226979297102_245764892	concert
443444327440132306_15988785	concert
443444371211816236_258618714	concert
443444451018365770_6196109	concert
443444579767723925_21352088	concert
443444675962575232_352544709	concert
443444717695613181_196789429	concert
443444837340014426_197922168	concert
443445065382993103_182225870	concert
443445152658683608_16221468	concert
443445555143727972_6196109	concert
443445597018945288_7475412	concert
443445743075984702_13158328	concert
443446953458575314_21352088	concert
443447208462244826_47350501	concert
443447226049029719_304694664	concert
443447459328126247_32944954	concert
443447808768433041_6196109	concert
443448215119861792_187125005	concert
443448451840880763_247187827	concert
443448566260250586_30021612	concert
443448593490583817_223452503	concert
443449121747039206_11993131	concert
443449923661410771_253970203	concert
443449956203599904_274902917	concert
443449974357511179_191598858	concert
443450213530845318_277131263	concert
443450615380752375_55583244	concert
443450656826659218_363076091	concert
443451175254181811_360729176	concert
443451213864643630_315666930	concert
443451265001297186_2651636	concert
443451319265589403_227330061	concert
443451721919400788_4765673	concert
443452450407298296_53919972	concert
443452637152925629_206453444	concert
443454788920140176_221620503	concert
443454924400222040_188284470	concert
443455362820989200_223608063	concert
443455434251767947_23729803	concert
443455648374616876_33745155	concert
443456247449606258_219787645	concert
443456421431178705_180284444	concert
443457008313132083_336927648	concert
443457335823343738_225454775	concert
443457640821384429_3016496	concert
443457671943157414_32506532	concert
443457697694711215_4055094	concert
443457720438106274_262861929	concert
443457723417252110_254548091	concert
443457751231778601_270471042	concert
443459336142727364_262861929	concert
443459908021689359_359594262	concert
443460194656667903_293525593	concert
443460418078405544_33745155	concert
443460509770043190_308214210	concert
443460761517865331_32031581	concert
443460816260461490_33745155	concert
443462205972024325_359699482	concert
443462597292326035_254394606	concert
443462769406148120_27826054	concert
443462965833661624_246830926	concert
443463044316928353_24870389	concert
443464499366884269_3979251	concert
443464607467577232_277401030	concert
443464674812760388_16367435	concert
443465437356287968_304694664	concert
443465438551737007_353215639	concert
443465587046950509_17090712	concert
443467435413209434_17814223	concert
443467614073188833_9448643	concert
443467705903413984_281858773	concert
443468812972370599_333247985	concert
443469335037883034_6133467	concert
443469442225277482_9886281	concert
443470085672969059_222685807	concert
443470471156477169_14242570	concert
443470498719137379_25470318	concert
443470500710954703_4858948	concert
443470518004507918_8150280	concert
443470648094821050_27660065	concert
443470650277382514_216726553	concert
443470879689013217_32506532	concert
443470956590369031_224329449	concert
443470999638427253_14092224	concert
443471655998387580_33493900	concert
443471757043572609_262165006	concert
443472070452312509_50001917	concert
443472224426139698_210212823	concert
443472457887104579_345160494	concert
443472773017904458_298934744	concert
443472806100732670_34827945	concert
443473177809925987_245654492	concert
443473276968301761_5441212	concert
443474081940971285_4278014	concert
443474489283995829_13373609	concert
443475187997019369_33504290	concert
443475739210759393_183362638	concert
443475811369921355_333247985	concert
443475905373650965_32128951	concert
443476222689697468_234494118	concert
443476933884746297_289669581	concert
443477286531647592_269087833	concert
443477403234545759_18223403	concert
443477472593070478_8994881	concert
443477649297728265_230693543	concert
443479470035108301_30861983	concert
443480247892516110_316055582	concert
443480554950360547_4671790	concert
443480601651219008_19083233	concert
443480941329352635_29686504	concert
443481016728566448_7498853	concert
443481394505976790_233160385	concert
443482500421347143_189413544	concert
443482636423623027_44341371	concert
443482767318184786_46465123	concert
443482799664672008_144250138	concert
443482968085762619_249803075	concert
443483063025141640_2320256	concert
443483311422754613_228147738	concert
443483679161068899_32041290	concert
443483994146686261_3913024	concert
443484191758581424_362854446	concert
443485138436387906_272817716	concert
